,assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_link,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
255,0.13,0.70,70.2,4.3,41.1%,0.97,68.2%,0.92,0.64,181,33,Mexico,10626,https://www.hltv.org/stats/players/10626/spayder,spaydeR,0.93,4672,0.09,0.09,3279,3012
256,0.08,0.66,68.3,2.8,54.8%,0.95,56.0%,0.94,0.62,2,19,Portugal,20750,https://www.hltv.org/stats/players/20750/p3r3iira,P3R3IIRA,0.90,50,0.12,0.08,33,31
257,0.14,0.71,74.5,5.0,52.5%,1.04,68.2%,0.91,0.65,37,21,Serbia,19676,https://www.hltv.org/stats/players/19676/merisinho,merisinho,1.00,940,0.09,0.10,672,612
258,0.08,0.87,52.9,1.3,57.9%,0.85,51.3%,0.56,0.49,2,21,Sweden,15976,https://www.hltv.org/stats/players/15976/gstar,GSTAR,0.66,39,0.10,0.15,34,19
259,0.18,0.72,79.5,3.9,49.2%,1.00,67.2%,0.95,0.68,19,20,Vietnam,19526,https://www.hltv.org/stats/players/19526/tvc,TVC,1.01,522,0.12,0.08,374,354
260,0.04,0.87,48.0,3.7,55.6%,0.34,43.5%,0.45,0.39,1,-,India,12669,https://www.hltv.org/stats/players/12669/aeneemal,Aeneemal,0.46,23,0.04,0.00,20,9
261,0.15,0.88,-,-,50.0%,-,-,0.52,0.46,2,-,Canada,10617,https://www.hltv.org/stats/players/10617/dutch,DutcH,0.56,48,-,-,42,22
262,0.15,0.48,83.0,5.2,55.3%,1.27,83.6%,1.66,0.80,6,-,Hong Kong,11381,https://www.hltv.org/stats/players/11381/poheart,Poheart,1.38,128,0.07,0.02,62,103
263,0.15,0.77,70.9,3.9,50.0%,0.79,61.2%,0.80,0.61,25,-,Poland,7755,https://www.hltv.org/stats/players/7755/dud1,dud1,0.83,647,0.06,0.09,496,396
264,0.06,0.79,49.1,3.4,58.8%,0.34,47.9%,0.45,0.35,2,-,Mexico,19917,https://www.hltv.org/stats/players/19917/armar,arMar,0.50,48,0.04,0.06,38,17
265,0.17,0.80,53.4,1.1,25.0%,0.80,63.0%,0.65,0.52,2,-,Peru,19923,https://www.hltv.org/stats/players/19923/vinklas,vinklas,0.75,46,0.11,0.07,37,24
266,0.09,0.70,71.1,2.1,40.6%,1.16,68.0%,1.02,0.71,65,20,Hong Kong,18028,https://www.hltv.org/stats/players/18028/crimzm,CrimZM,1.05,1598,0.12,0.10,1111,1129
267,0.16,0.73,69.4,6.7,44.9%,0.84,65.7%,0.77,0.56,48,29,Brazil,11155,https://www.hltv.org/stats/players/11155/fluyr,Fluyr,0.88,1246,0.06,0.09,911,702
268,0.13,0.69,78.6,3.3,56.4%,1.17,71.7%,1.05,0.72,396,22,Thailand,12564,https://www.hltv.org/stats/players/12564/geniuss,Geniuss,1.11,10099,0.11,0.11,6995,7321
269,0.12,0.70,69.3,3.3,40.8%,1.00,67.1%,0.93,0.65,61,23,Spain,13094,https://www.hltv.org/stats/players/13094/vasili,Vasili,0.98,1550,0.12,0.10,1084,1011
270,0.13,0.74,69.3,4.4,52.7%,0.91,65.2%,0.79,0.58,51,17,Russia,19235,https://www.hltv.org/stats/players/19235/belchonokk,BELCHONOKK,0.90,1236,0.08,0.09,909,714
271,0.37,0.80,96.6,10.4,43.5%,1.53,70.0%,0.96,0.77,1,23,Bahrain,16519,https://www.hltv.org/stats/players/16519/charles,charleS,1.19,30,0.17,0.10,24,23
272,0.10,0.62,75.0,2.3,27.7%,1.18,72.4%,1.19,0.74,1101,21,Bulgaria,11219,https://www.hltv.org/stats/players/11219/cerq,CeRq,1.15,28667,0.11,0.10,17869,21289
